hour_of_day,day_of_week,is_weekend,is_holiday,month,current_congestion_percent,current_jam_factor,weather_precipitation_mm,weather_visibility_m,weather_impact_factor,has_nearby_event,event_expected_attendance,has_active_incident,incident_severity,transit_delay_minutes,historical_avg_congestion_this_hour,historical_avg_congestion_same_weekday,congestion_15min,congestion_30min,congestion_60min
8,0,0,0,1,45.2,4.5,0,10000,1.0,0,0,0,0,0,42.0,44.0,48.5,52.1,55.3
8,1,0,0,1,52.3,5.2,2.1,5000,1.3,0,0,0,0,3,50.0,51.0,58.1,62.4,65.0
8,2,0,0,1,48.7,4.8,0,10000,1.0,1,5000,0,0,0,46.0,47.5,55.2,58.9,60.1
8,3,0,0,1,55.1,5.5,0,10000,1.0,0,0,1,2,5,53.0,54.0,62.3,67.8,70.2
8,4,0,0,1,47.8,4.7,0,10000,1.0,0,0,0,0,0,45.0,46.5,51.2,54.6,57.8
8,5,1,0,1,28.3,2.8,0,10000,1.0,0,0,0,0,0,26.0,27.0,30.1,32.4,33.9
8,6,1,0,1,25.6,2.5,0,10000,1.0,0,0,0,0,0,24.0,25.5,27.8,29.1,30.5
9,0,0,0,1,62.4,6.2,0,10000,1.0,0,0,0,0,2,60.0,61.0,65.1,68.3,62.0
9,1,0,0,1,58.9,5.8,0,10000,1.0,0,0,0,0,0,56.0,57.5,61.2,63.8,58.4
9,2,0,0,2,65.3,6.5,4.5,3000,1.5,0,0,0,0,8,63.0,64.0,72.1,76.4,70.8
9,3,0,0,2,60.1,6.0,0,10000,1.0,1,15000,0,0,0,58.0,59.0,67.5,72.1,68.3
9,4,0,0,2,55.7,5.5,0,10000,1.0,0,0,1,1,3,53.0,54.5,58.9,60.2,55.1
10,0,0,0,2,50.2,5.0,0,10000,1.0,0,0,0,0,0,48.0,49.0,52.1,54.6,50.8
10,1,0,0,2,48.5,4.8,1.5,6000,1.15,0,0,0,0,0,46.0,47.0,51.3,53.9,49.2
10,2,0,0,3,45.1,4.5,0,10000,1.0,0,0,0,0,2,43.0,44.0,47.8,49.3,45.5
11,0,0,0,3,38.4,3.8,0,10000,1.0,0,0,0,0,0,36.0,37.0,40.2,42.1,38.9
11,1,0,0,3,42.1,4.2,0,10000,1.0,0,0,0,0,0,40.0,41.0,44.5,46.8,43.2
12,0,0,0,3,35.6,3.5,0,10000,1.0,0,0,0,0,0,33.0,34.0,37.1,38.9,35.8
12,1,0,0,4,40.2,4.0,0,10000,1.0,1,8000,0,0,0,38.0,39.0,44.5,47.2,44.1
13,0,0,0,4,32.8,3.2,0,10000,1.0,0,0,0,0,0,30.0,31.0,34.1,35.6,33.2
13,1,0,0,4,36.5,3.6,3.0,4000,1.3,0,0,0,0,5,34.0,35.0,41.2,43.8,40.1
14,0,0,0,5,34.2,3.4,0,10000,1.0,0,0,0,0,0,32.0,33.0,36.5,38.1,35.9
14,1,0,0,5,38.9,3.8,0,10000,1.0,0,0,1,1,0,36.0,37.5,42.1,44.5,41.3
15,0,0,0,5,42.3,4.2,0,10000,1.0,0,0,0,0,0,40.0,41.0,46.8,50.2,48.5
15,1,0,0,6,45.8,4.5,0,10000,1.0,0,0,0,0,2,43.0,44.5,50.1,54.3,52.8
16,0,0,0,6,52.1,5.2,0,10000,1.0,0,0,0,0,0,50.0,51.0,56.4,60.1,58.3
16,1,0,0,6,55.4,5.5,0,10000,1.0,1,20000,0,0,0,53.0,54.0,62.8,67.5,65.2
17,0,0,0,7,68.2,6.8,0,10000,1.0,0,0,0,0,3,66.0,67.0,72.1,75.3,70.8
17,1,0,0,7,72.5,7.2,0,10000,1.0,0,0,0,0,0,70.0,71.0,75.8,78.2,72.5
17,2,0,0,7,75.3,7.5,5.5,2000,1.5,0,0,1,2,8,73.0,74.0,82.1,86.4,80.2
17,3,0,0,8,70.1,7.0,0,10000,1.0,1,30000,0,0,0,68.0,69.0,78.5,83.1,78.9
17,4,0,0,8,66.8,6.6,0,10000,1.0,0,0,0,0,0,64.0,65.5,70.2,73.8,68.5
18,0,0,0,8,78.5,7.8,0,10000,1.0,0,0,0,0,5,76.0,77.0,80.1,82.3,75.1
18,1,0,0,9,82.1,8.2,0,10000,1.0,0,0,1,3,10,80.0,81.0,85.3,87.8,80.5
18,2,0,0,9,74.3,7.4,2.0,5000,1.3,0,0,0,0,0,72.0,73.0,78.5,80.9,74.2
18,3,0,0,9,70.6,7.0,0,10000,1.0,0,0,0,0,3,68.0,69.5,73.2,75.1,69.8
19,0,0,0,10,62.8,6.2,0,10000,1.0,0,0,0,0,0,60.0,61.0,64.5,65.8,58.3
19,1,0,0,10,58.2,5.8,0,10000,1.0,1,10000,0,0,0,56.0,57.0,62.1,64.5,58.9
19,5,1,0,10,38.4,3.8,0,10000,1.0,1,25000,0,0,0,36.0,37.0,45.2,50.1,48.5
19,6,1,0,10,35.1,3.5,0,10000,1.0,0,0,0,0,0,33.0,34.0,36.8,38.2,35.1
20,0,0,0,11,48.5,4.8,0,10000,1.0,0,0,0,0,0,46.0,47.0,45.2,42.1,38.5
20,1,0,0,11,45.2,4.5,0,10000,1.0,0,0,0,0,0,43.0,44.0,42.8,40.5,36.8
20,2,0,0,11,42.8,4.2,0,10000,1.0,0,0,0,0,0,40.0,41.5,40.1,37.8,34.2
21,0,0,0,12,35.6,3.5,0,10000,1.0,0,0,0,0,0,33.0,34.0,33.2,30.8,28.5
21,1,0,0,12,32.4,3.2,0,10000,1.0,0,0,0,0,0,30.0,31.0,30.5,28.2,25.8
22,0,0,0,12,22.8,2.2,0,10000,1.0,0,0,0,0,0,20.0,21.0,20.5,18.9,15.3
22,1,0,0,12,18.5,1.8,0,10000,1.0,0,0,0,0,0,16.0,17.0,16.8,15.2,12.8
23,0,0,0,1,12.3,1.2,0,10000,1.0,0,0,0,0,0,10.0,11.0,10.5,9.8,8.5
23,1,0,0,1,10.8,1.0,0,10000,1.0,0,0,0,0,0,9.0,10.0,9.5,8.2,7.1
0,0,0,0,1,8.5,0.8,0,10000,1.0,0,0,0,0,0,7.0,8.0,7.5,7.1,6.8
1,0,0,0,1,6.2,0.6,0,10000,1.0,0,0,0,0,0,5.0,6.0,5.8,5.5,5.2
5,0,0,0,2,10.5,1.0,0,10000,1.0,0,0,0,0,0,9.0,10.0,12.5,15.8,22.3
6,0,0,0,2,22.8,2.2,0,10000,1.0,0,0,0,0,0,20.0,21.0,28.5,32.1,38.5
7,0,0,0,2,38.5,3.8,0,10000,1.0,0,0,0,0,0,36.0,37.0,42.1,45.6,50.2
7,1,0,0,3,42.1,4.2,2.5,4000,1.3,0,0,0,0,5,40.0,41.0,48.5,52.3,58.1
8,0,0,1,3,32.5,3.2,0,10000,1.0,0,0,0,0,0,30.0,31.0,35.1,37.8,40.2
9,0,0,1,4,28.4,2.8,0,10000,1.0,0,0,0,0,0,26.0,27.0,30.2,32.5,34.8
17,0,0,1,4,45.2,4.5,0,10000,1.0,0,0,0,0,0,43.0,44.0,48.5,50.2,48.1
18,0,0,1,5,48.8,4.8,0,10000,1.0,0,0,0,0,0,46.0,47.0,50.1,48.5,42.3
